date,description,amount
2026-06-01,SWIGGY BANGALORE,450.00
2026-06-02,UBER TRIP,220.50
2026-06-03,SALARY CREDIT XYZ CORP,-55000.00
2026-06-05,BIGBASKET GROCERIES,1850.00
2026-06-07,NETFLIX SUBSCRIPTION,499.00
2026-06-09,ZOMATO ORDER,380.00
2026-06-12,ELECTRICITY BILL BESCOM,1200.00
2026-06-15,AMAZON SHOPPING,2999.00
2026-06-18,UBER TRIP,180.00
2026-06-20,APOLLO PHARMACY,650.00
2026-06-22,STARBUCKS COFFEE,420.00
2026-06-25,RENT PAYMENT,18000.00
2026-06-27,SPOTIFY SUBSCRIPTION,119.00
2026-06-28,FLIPKART SHOPPING,1499.00
2026-06-29,SWIGGY BANGALORE,510.00
